Feature,Mean_Abs_SHAP,Mean_SHAP,Std_SHAP,Impact_Score,Direction,Rank
AnomalyScore,0.03223191717870362,-0.03223191717870362,0.0,3223191.717870362,Decreases Fraud Risk,1
LoginAttempts,0.00896454482592002,-0.00896454482592002,0.0,896454.4825920019,Decreases Fraud Risk,2
CustomerOccupation,0.005401437132051887,0.005401437132051887,0.0,540143.7132051887,Increases Fraud Risk,3
TransactionType,0.005176421586286654,-0.005176421586286654,0.0,517642.15862866543,Decreases Fraud Risk,4
AccountBalance,0.0033295827715382796,0.0033295827715382796,0.0,332958.27715382795,Increases Fraud Risk,5
TransactionDuration,0.001358954012262755,0.001358954012262755,0.0,135895.40122627548,Increases Fraud Risk,6
DeviceID,0.001115810446116114,-0.001115810446116114,0.0,111581.04461161139,Decreases Fraud Risk,7
IP Address,0.0009343753040986711,-0.0009343753040986711,0.0,93437.53040986712,Decreases Fraud Risk,8
TransactionAmount,0.0007655613992180169,-0.0007655613992180169,0.0,76556.13992180169,Decreases Fraud Risk,9
MerchantID,0.0002009619289818406,0.0002009619289818406,0.0,20096.19289818406,Increases Fraud Risk,10
Channel,0.00012675155276637736,-0.00012675155276637736,0.0,12675.155276637735,Decreases Fraud Risk,11
Location,3.801782368065149e-05,-3.801782368065149e-05,0.0,3801.7823680651486,Decreases Fraud Risk,12
CustomerAge,3.778274329292093e-05,3.778274329292093e-05,0.0,3778.274329292093,Increases Fraud Risk,13
